geography_code,crime_sum_2021
E01001036,83
E01001037,157
E01001038,110
E01001039,52
E01001040,111
E01001041,152
E01001042,432
E01001043,1065
E01001044,86
E01001045,952
E01001046,61
E01001047,150
E01001048,804
E01001049,75
E01001050,55
E01001051,96
E01001052,90
E01001053,94
E01001054,126
E01001055,88
E01001056,95
E01001057,134
E01001058,27
E01001059,60
E01001060,62
E01001061,90
E01001062,127
E01001063,91
E01001064,156
E01001065,159
E01001066,80
E01001067,41
E01001068,84
E01001069,34
E01001070,79
E01001071,60
E01001072,61
E01001073,86
E01001074,112
E01001075,68
E01001076,314
E01001077,49
E01001078,144
E01001079,140
E01001080,131
E01001081,130
E01001082,101
E01001083,55
E01001084,112
E01001085,135
E01001086,78
E01001087,305
E01001088,76
E01001089,215
E01001090,142
E01001091,111
E01001092,87
E01001093,62
E01001094,68
E01001095,99
E01001096,47
E01001097,480
E01001098,62
E01001099,62
E01001100,35
E01001101,25
E01001102,59
E01001103,54
E01001104,49
E01001105,58
E01001106,92
E01001107,50
E01001108,42
E01001109,237
E01001110,215
E01001111,178
E01001112,132
E01001113,150
E01001114,142
E01001115,208
E01001116,196
E01001117,274
E01001118,387
E01001119,19
E01001120,59
E01001121,18
E01001122,64
E01001123,28
E01001124,28
E01001125,102
E01001126,28
E01001127,82
E01001128,105
E01001129,43
E01001130,95
E01001131,64
E01001132,100
E01001133,50
E01001134,47
E01001135,93
E01001136,271
E01001137,165
E01001138,75
E01001139,99
E01001140,71
E01001141,69
E01001142,126
E01001143,116
E01001144,128
E01001145,245
E01001146,91
E01001147,130
E01001148,116
E01001149,111
E01001150,123
E01001151,143
E01001152,211
E01001153,105
E01001154,211
E01001155,358
E01001156,90
E01001157,130
E01001158,80
E01001159,104
E01001160,156
E01001161,118
E01001162,114
E01001163,122
E01001164,202
E01001165,108
E01001166,161
E01001167,275
E01001168,156
E01001169,114
E01001170,179
E01001171,105
E01001172,287
E01001173,169
E01001174,80
E01001175,119
E01001176,152
E01001177,193
E01001178,498
E01001179,103
E01001180,135
E01001181,314
E01001182,129
E01001183,368
E01001184,78
E01001185,100
E01001186,156
E01001187,111
E01001188,163
E01001189,60
E01001190,89
E01001191,310
E01001192,132
E01001193,159
E01001194,80
E01001195,94
E01001196,162
E01001197,97
E01001198,51
E01001199,124
E01001200,104
E01001201,74
E01001202,449
E01001203,147
E01001204,50
E01001205,80
E01001206,120
E01001207,102
E01001208,51
E01001209,86
E01001210,123
E01001211,49
E01001212,76
E01001213,120
E01001214,77
E01001215,212
E01001216,66
E01001217,65
E01001218,124
E01001219,126
E01001220,109
E01001221,1075
E01001222,260
E01001223,74
E01001224,76
E01001225,371
E01001226,51
E01001227,53
E01001228,90
E01001229,85
E01001230,114
E01001231,132
E01001232,81
E01001233,118
E01001234,175
E01001235,116
E01001236,58
E01001237,122
E01001238,353
E01001239,104
E01001240,133
E01001241,162
E01001242,99
E01001243,173
E01001244,177
E01001245,180
E01001246,262
E01001247,745
E01001248,108
E01001249,344
E01001250,186
E01001251,137
E01001252,220
E01001253,75
E01001254,68
E01001255,39
E01001257,158
E01001258,98
E01001259,91
E01001260,84
E01001261,405
E01001262,90
E01001263,207
E01001264,78
E01001265,106
E01001266,215
E01001267,176
E01001268,84
E01001269,70
E01001270,91
E01001271,96
E01001272,134
E01001273,79
E01001274,55
E01001275,118
E01001276,213
E01001277,197
E01001278,305
E01001279,58
E01001280,77
E01001281,59
E01001282,45
E01001283,168
E01001284,72
E01001285,131
E01001286,60
E01001287,52
E01001288,80
E01001289,52
E01001290,101
E01001291,90
E01001292,87
E01001293,66
E01001294,94
E01001295,56
E01001296,57
E01001297,115
E01001298,117
E01001299,67
E01001300,59
E01001301,120
E01001302,67
E01001303,127
E01001304,52
E01001305,46
E01001306,38
E01001307,113
E01001308,79
E01001309,98
E01001310,103
E01001311,104
E01001312,104
E01001313,60
E01001314,73
E01001315,77
E01001316,104
E01001317,112
E01001318,142
E01001319,75
E01001320,102
E01001321,123
E01001322,153
E01001323,235
E01001324,104
E01001325,125
E01001326,218
E01001327,190
E01001328,178
E01001329,80
E01001330,142
E01001331,107
E01001332,132
E01001333,282
E01001334,107
E01001335,87
E01001336,94
E01001337,239
E01001338,168
E01001339,137
E01001340,456
E01001341,95
E01001342,75
E01001343,81
E01001344,151
E01001345,88
E01001346,51
E01001347,294
E01001348,233
E01001349,130
E01001350,50
E01001351,355
E01001352,176
E01001353,101
E01001354,252
E01001355,180
E01001356,116
E01001357,134
E01001358,111
E01001359,225
E01001360,102
E01001361,824
E01001362,219
E01001363,92
E01001364,140
E01001365,134
E01001366,124
E01001367,244
E01001368,117
E01001369,112
E01001370,103
E01001371,184
E01001372,135
E01001373,126
E01001374,62
E01001375,68
E01001376,108
E01001377,65
E01001379,53
E01001380,79
E01001381,303
E01001382,50
E01001383,44
E01001384,62
E01001385,94
E01001386,99
E01001387,167
E01001388,185
E01001389,335
E01001390,68
E01001391,108
E01001392,73
E01001393,116
E01001394,151
E01001395,101
E01001396,90
E01001397,157
E01001398,118
E01001399,77
E01001400,104
E01001401,47
E01001402,101
E01001403,97
E01001404,64
E01001405,97
E01001406,158
E01001407,133
E01001408,125
E01001409,144
E01001410,153
E01001411,171
E01001412,230
E01001413,72
E01001414,120
E01001415,282
E01001416,58
E01001417,105
E01001418,123
E01001419,136
