geography_code,Borough,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against the Person,sum_2021
E01003571,Newham,5,7,7,3,2,8,6,10,22,40,110
E01003695,Redbridge,10,4,5,1,2,7,5,9,23,44,110
E01003855,Richmond upon Thames,12,17,5,6,1,6,3,14,12,34,110
E01003950,Southwark,6,11,10,0,1,5,1,20,13,43,110
E01003997,Southwark,9,6,6,2,3,10,3,41,15,15,110
E01004432,Waltham Forest,5,8,7,1,0,8,4,14,16,47,110
E01004628,Wandsworth,10,16,4,1,1,7,1,13,10,47,110
E01004633,Wandsworth,20,10,4,3,,9,2,9,13,40,110
E01033086,Haringey,6,15,8,1,5,5,4,14,11,41,110
E01033580,Newham,4,18,12,2,3,8,3,17,18,25,110
E01000066,Barking and Dagenham,7,14,2,2,1,6,8,5,23,41,109
E01000123,Barnet,8,5,6,10,1,8,1,15,20,35,109
E01000365,Bexley,8,3,1,2,2,13,2,26,7,45,109
E01000402,Bexley,13,3,2,2,0,5,,14,31,39,109
E01000489,Brent,11,7,2,3,0,9,1,13,21,42,109
E01000498,Brent,9,5,10,3,1,6,2,7,25,41,109
E01000520,Brent,10,6,1,0,1,18,1,9,20,43,109
E01000807,Bromley,7,9,5,0,1,14,1,29,8,35,109
E01001220,Ealing,8,7,9,2,1,10,3,8,12,49,109
E01001649,Greenwich,8,9,3,0,,8,0,9,35,37,109
E01001764,Hackney,7,12,5,0,2,6,2,19,14,42,109
E01001841,Hackney,8,13,3,2,1,7,7,28,15,25,109
E01001883,Hammersmith and Fulham,6,13,2,0,1,9,3,27,12,36,109
E01001925,Hammersmith and Fulham,6,9,4,,1,8,1,45,17,18,109
E01002114,Harrow,4,6,16,3,0,2,1,6,18,53,109
E01002247,Havering,8,5,5,4,1,11,6,7,16,46,109
E01002402,Hillingdon,9,5,4,1,,11,,7,16,56,109
E01002744,Islington,3,9,5,1,0,9,6,38,11,27,109
E01002781,Islington,7,9,7,0,1,4,7,25,17,32,109
E01002882,Kensington and Chelsea,2,18,1,4,0,5,3,41,12,23,109
E01003122,Lambeth,8,11,9,3,1,5,3,29,8,32,109
E01003239,Lewisham,10,4,4,5,2,9,3,7,30,35,109
E01003333,Lewisham,7,8,4,4,0,7,3,9,24,43,109
E01003339,Lewisham,12,6,11,1,1,6,1,11,19,41,109
E01003764,Redbridge,3,12,8,1,0,6,1,18,26,34,109
E01003826,Richmond upon Thames,19,10,3,1,1,10,0,9,4,52,109
E01004020,Southwark,6,8,5,,2,6,1,21,13,47,109
E01004150,Sutton,6,8,8,2,,13,3,6,16,47,109
E01004233,Tower Hamlets,8,7,4,1,0,2,3,26,11,47,109
E01004584,Wandsworth,8,4,7,0,0,5,4,10,8,63,109
E01004669,Westminster,17,5,6,1,0,8,2,17,2,51,109
E01004683,Westminster,6,17,3,,0,6,7,31,16,23,109
E01000083,Barking and Dagenham,7,4,8,2,1,6,3,8,15,54,108
E01000127,Barnet,6,5,15,1,1,5,4,9,25,37,108
E01000241,Barnet,7,18,1,3,0,6,1,15,18,39,108
E01000295,Barnet,7,11,7,0,,8,5,19,25,26,108
E01000374,Bexley,10,3,12,2,1,4,0,12,13,51,108
E01000375,Bexley,10,5,11,4,2,3,1,13,19,40,108
E01000377,Bexley,10,12,1,4,0,3,,7,20,51,108
E01000692,Bromley,7,8,5,1,1,11,2,23,25,25,108
E01001165,Croydon,11,5,3,5,1,13,7,9,18,36,108
E01001248,Ealing,6,6,6,1,2,12,5,10,22,38,108
E01001376,Ealing,9,11,4,0,,9,1,13,16,45,108
E01001391,Enfield,11,9,3,3,,16,0,11,16,39,108
E01001462,Enfield,6,7,3,5,0,7,5,11,21,43,108
E01001504,Enfield,8,2,3,2,,6,1,10,27,49,108
E01001864,Hammersmith and Fulham,10,5,4,1,1,6,3,15,30,33,108
E01001937,Hammersmith and Fulham,3,21,10,2,0,11,5,14,16,26,108
E01002214,Harrow,6,9,6,1,0,6,1,2,21,56,108
E01002676,Hounslow,5,7,8,0,1,9,1,12,22,43,108
E01002709,Islington,8,1,9,3,1,14,4,15,5,48,108
E01002809,Islington,5,8,4,1,3,7,5,21,18,36,108
E01003082,Lambeth,7,6,5,4,1,8,2,10,15,50,108
E01003222,Lewisham,7,13,5,2,1,7,1,15,28,29,108
E01003277,Lewisham,8,10,3,2,0,5,0,13,25,42,108
E01003514,Newham,12,3,10,2,1,8,4,12,16,40,108
E01003625,Newham,6,5,18,2,,4,5,16,12,40,108
E01003947,Southwark,10,6,5,6,2,8,2,10,12,47,108
E01004001,Southwark,12,4,7,1,0,7,1,19,15,42,108
E01004145,Sutton,13,8,6,3,,6,1,11,24,36,108
E01004333,Waltham Forest,13,13,6,,1,5,1,15,13,41,108
E01004389,Waltham Forest,6,6,2,3,0,8,3,9,35,36,108
E01004471,Waltham Forest,11,10,8,3,,6,1,7,19,43,108
E01004726,Westminster,7,6,1,,,8,3,44,18,21,108
E01004743,Westminster,2,5,9,0,1,9,3,27,5,47,108
E01000322,Barnet,8,6,3,1,1,12,1,21,16,38,107
E01000670,Bromley,10,8,7,,3,9,3,20,21,26,107
E01000801,Bromley,10,4,7,3,,9,1,16,20,37,107
E01000805,Bromley,10,5,4,1,1,11,1,9,19,46,107
E01000932,Camden,13,10,2,1,,4,2,19,21,35,107
E01001331,Ealing,10,4,16,2,0,3,1,6,17,48,107
E01001334,Ealing,10,8,22,1,1,10,2,6,10,37,107
E01001510,Enfield,4,13,10,,3,5,1,10,16,45,107
E01001737,Hackney,6,12,6,3,,11,7,28,11,23,107
E01002309,Havering,5,5,8,3,1,4,0,15,13,53,107
E01002367,Havering,9,12,3,2,,10,1,22,10,38,107
