geography_code,Borough,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against the Person,sum_2021
E01002661,Hounslow,15,10,20,4,2,18,9,52,16,59,205
E01002707,Islington,19,15,16,1,1,22,2,69,9,51,205
E01002919,Kingston upon Thames,15,4,17,1,1,6,0,55,27,79,205
E01003014,Lambeth,19,18,22,3,4,20,6,45,11,57,205
E01033456,Brent,17,8,26,4,1,25,10,18,24,72,205
E01000237,Barnet,12,13,19,1,5,20,5,37,24,68,204
E01002103,Haringey,14,8,12,1,4,21,9,41,36,58,204
E01002443,Hillingdon,13,15,11,3,0,15,5,31,46,65,204
E01002520,Hillingdon,17,10,13,5,1,20,2,20,30,86,204
E01002650,Hounslow,14,8,24,1,3,22,1,55,13,63,204
E01002713,Islington,16,17,14,4,2,12,6,38,16,79,204
E01003553,Newham,14,7,16,5,2,19,8,31,23,79,204
E01004662,Westminster,7,12,12,2,0,4,4,53,64,46,204
E01000064,Barking and Dagenham,16,13,20,3,1,13,5,34,14,84,203
E01001486,Enfield,15,9,8,1,,10,9,21,26,104,203
E01001697,Greenwich,16,19,20,2,4,16,4,24,17,81,203
E01001712,Greenwich,22,17,30,4,2,17,5,23,13,70,203
E01002160,Harrow,14,12,13,1,2,12,6,59,29,55,203
E01002708,Islington,9,9,17,2,7,16,6,46,23,68,203
E01003099,Lambeth,10,19,21,5,3,15,18,49,3,60,203
E01003128,Lambeth,9,11,20,4,6,17,8,66,12,50,203
E01004023,Southwark,15,7,17,3,3,21,7,51,17,62,203
E01004311,Tower Hamlets,24,18,20,,1,12,11,43,29,45,203
E01000174,Barnet,8,7,6,1,2,15,9,70,31,53,202
E01001164,Croydon,18,9,9,2,1,19,2,57,13,72,202
E01001576,Greenwich,21,6,14,2,2,28,8,21,16,84,202
E01002485,Hillingdon,10,14,9,3,,11,4,53,38,60,202
E01002732,Islington,18,15,21,2,3,15,11,27,16,74,202
E01003507,Newham,19,14,10,4,3,12,12,32,38,58,202
E01003674,Redbridge,10,10,0,2,,12,6,52,43,67,202
E01003758,Redbridge,19,3,13,1,,9,2,50,32,73,202
E01003941,Southwark,10,12,22,4,2,15,10,66,18,43,202
E01032646,Southwark,6,18,14,2,2,10,7,102,13,28,202
E01000352,Bexley,17,4,9,4,,14,,72,21,60,201
E01001023,Croydon,32,8,5,6,0,20,2,28,22,78,201
E01001516,Enfield,9,19,14,1,1,22,6,42,28,59,201
E01001814,Hackney,13,13,5,1,1,22,9,57,13,67,201
E01002871,Kensington and Chelsea,13,19,2,,2,18,5,65,31,46,201
E01002878,Kensington and Chelsea,24,15,20,2,4,18,6,39,16,57,201
E01004033,Southwark,15,14,10,2,2,15,5,57,13,68,201
E01004440,Waltham Forest,24,12,13,1,2,15,5,44,18,67,201
E01004674,Westminster,16,12,12,1,1,22,5,32,17,83,201
E01000072,Barking and Dagenham,14,16,29,4,2,14,13,34,21,53,200
E01000631,Brent,32,2,35,3,3,33,0,17,4,71,200
E01001489,Enfield,13,15,12,2,3,17,6,24,42,66,200
E01001776,Hackney,7,18,14,3,0,15,5,56,33,49,200
E01002119,Harrow,10,15,16,3,2,18,4,27,37,68,200
E01004460,Waltham Forest,16,11,18,5,6,11,13,45,19,56,200
E01004537,Wandsworth,19,16,14,2,0,11,5,34,18,81,200
E01033085,Haringey,10,15,9,2,2,14,5,59,10,74,200
E01000743,Bromley,14,6,14,1,3,13,7,66,19,56,199
E01000933,Camden,11,11,11,3,1,12,4,81,25,40,199
E01001549,Enfield,16,15,4,3,1,13,1,42,22,82,199
E01001745,Hackney,19,22,11,5,7,19,8,37,13,58,199
E01001828,Hackney,9,19,6,3,2,16,7,24,27,86,199
E01002611,Hounslow,27,5,11,4,1,11,3,27,13,97,199
E01002697,Islington,11,21,21,2,2,15,3,48,17,59,199
E01003471,Merton,10,8,2,1,,5,4,95,37,37,199
E01004747,Westminster,19,17,23,3,1,32,5,21,8,70,199
E01001637,Greenwich,8,14,21,6,4,10,3,26,35,71,198
E01001796,Hackney,8,18,10,2,3,14,6,50,32,55,198
E01002584,Hounslow,15,5,8,5,0,9,4,37,35,80,198
E01003089,Lambeth,13,11,19,4,3,13,5,46,11,73,198
E01004302,Tower Hamlets,10,6,23,1,5,12,15,68,8,50,198
E01004571,Wandsworth,14,11,9,1,0,15,2,60,43,43,198
E01004583,Wandsworth,8,24,5,1,1,11,6,85,20,37,198
E01033153,Waltham Forest,16,8,16,3,4,13,4,23,26,85,198
E01033605,Westminster,14,19,17,3,2,13,1,37,18,74,198
E01001277,Ealing,11,7,19,4,2,7,0,20,60,67,197
E01001787,Hackney,12,23,6,2,1,9,12,32,13,87,197
E01002401,Hillingdon,20,11,10,3,6,18,2,19,19,89,197
E01002677,Hounslow,17,18,11,3,3,17,3,32,18,75,197
E01004260,Tower Hamlets,12,16,13,7,2,10,7,30,50,50,197
E01004298,Tower Hamlets,7,7,15,0,1,16,4,63,14,70,197
E01033093,Wandsworth,6,39,4,1,2,11,3,44,39,48,197
E01000151,Barnet,13,10,17,5,1,22,2,20,33,73,196
E01000414,Bexley,17,8,9,3,1,24,1,59,12,62,196
E01000730,Bromley,39,14,30,4,1,16,5,19,14,54,196
E01001116,Croydon,10,17,8,2,5,20,3,42,20,69,196
E01001677,Greenwich,21,6,21,4,3,22,3,20,17,79,196
E01002088,Haringey,7,18,6,3,2,17,7,36,27,73,196
E01002249,Havering,21,19,5,5,1,15,3,16,23,88,196
E01003081,Lambeth,13,16,11,5,6,19,6,24,20,76,196
E01003194,Lewisham,18,15,14,2,2,11,4,27,40,63,196
E01004063,Southwark,14,18,10,0,0,20,6,51,18,59,196
E01004344,Waltham Forest,21,14,17,3,2,15,13,15,29,67,196
E01000943,Camden,16,13,8,1,1,16,6,70,8,56,195
E01001552,Enfield,11,20,13,5,2,17,6,15,25,81,195
E01001786,Hackney,13,7,21,1,0,23,13,33,11,73,195
E01001822,Hackney,13,13,6,4,0,13,3,43,28,72,195
E01002065,Haringey,7,18,16,3,1,24,6,29,36,55,195
E01002074,Haringey,18,10,5,3,0,10,6,25,33,85,195
E01002589,Hounslow,12,5,13,2,5,12,3,24,27,92,195
E01003935,Southwark,12,29,12,,,8,9,88,15,22,195
E01033569,Kingston upon Thames,10,13,14,1,1,8,2,81,11,54,195
E01001458,Enfield,21,13,24,2,1,14,9,16,32,62,194
E01001722,Hackney,13,24,4,0,1,14,9,37,11,81,194
E01002645,Hounslow,11,11,53,0,3,12,6,25,12,61,194
E01003062,Lambeth,13,7,10,1,6,16,11,32,22,76,194
E01003439,Merton,13,21,6,4,1,28,6,35,17,63,194
E01003469,Merton,9,8,5,4,,11,0,83,35,39,194
E01003489,Newham,13,6,30,7,1,7,8,35,20,67,194
E01003633,Newham,15,10,25,1,2,16,8,26,13,78,194
E01004221,Tower Hamlets,13,11,15,5,4,15,6,28,29,68,194
E01004652,Westminster,13,16,4,1,2,29,5,66,12,46,194
E01001177,Croydon,18,15,11,4,1,10,4,30,47,53,193
E01001709,Greenwich,16,14,11,2,6,18,4,45,30,47,193
E01001944,Hammersmith and Fulham,18,9,11,3,,24,7,28,21,72,193
E01002039,Haringey,7,13,18,8,4,12,4,23,33,71,193
E01002073,Haringey,11,17,5,1,,16,11,25,46,61,193
E01002532,Hillingdon,18,20,18,3,2,16,3,12,20,81,193
E01003720,Redbridge,13,17,13,8,0,13,7,43,13,66,193
E01004720,Westminster,17,24,14,3,1,10,9,25,35,55,193
E01000432,Bexley,21,15,13,0,2,13,1,22,27,78,192
E01001589,Greenwich,19,6,16,2,1,21,7,24,21,75,192
E01001735,Hackney,12,14,25,5,0,24,12,26,23,51,192
E01001875,Hammersmith and Fulham,15,12,9,2,0,11,3,26,26,88,192
E01002091,Haringey,20,20,9,2,1,18,6,18,43,55,192
E01004493,Wandsworth,14,10,14,7,0,1,3,17,9,117,192
E01032569,Croydon,22,8,2,4,0,14,4,18,30,90,192
E01000506,Brent,7,13,26,4,2,14,3,39,26,57,191
E01002067,Haringey,15,17,12,2,1,7,13,22,38,64,191
E01002375,Havering,21,23,4,5,4,15,3,9,25,82,191
E01002832,Kensington and Chelsea,11,21,7,1,2,15,4,70,20,40,191
E01003021,Lambeth,23,10,9,15,0,13,3,15,11,92,191
E01003030,Lambeth,15,19,9,1,0,24,4,53,16,50,191
E01000299,Barnet,5,8,5,2,1,22,6,59,14,68,190
E01000872,Camden,17,11,7,1,0,11,3,36,38,66,190
E01001327,Ealing,9,14,8,4,0,23,5,51,25,51,190
E01002790,Islington,18,7,2,2,2,21,5,70,7,56,190
E01003338,Lewisham,15,17,7,0,1,11,3,32,20,84,190
E01004223,Tower Hamlets,13,8,9,2,2,15,7,43,28,63,190
E01032787,Tower Hamlets,18,15,22,3,1,10,5,26,22,68,190
E01001447,Enfield,10,10,5,5,2,17,3,16,43,78,189
E01001966,Haringey,14,13,25,1,1,10,18,43,28,36,189
E01001970,Haringey,11,8,15,0,2,18,5,62,25,43,189
E01002233,Harrow,15,17,15,2,1,17,4,38,14,66,189
E01002530,Hillingdon,33,12,12,4,2,14,5,23,18,66,189
E01003517,Newham,16,10,13,3,3,18,2,22,34,68,189
E01003726,Redbridge,10,12,8,6,,8,0,21,43,81,189
E01003735,Redbridge,17,8,7,0,0,21,7,38,13,78,189
E01004060,Southwark,14,14,21,3,0,12,9,35,18,63,189
E01004370,Waltham Forest,22,7,34,5,3,22,5,22,17,52,189
E01033101,Wandsworth,16,33,11,1,1,8,5,28,32,54,189
E01001591,Greenwich,8,9,18,0,1,15,5,61,17,54,188
E01001661,Greenwich,17,6,8,8,4,15,5,16,19,90,188
E01001997,Haringey,7,19,0,0,,18,9,83,18,34,188
E01002542,Hillingdon,13,15,14,3,1,15,7,30,24,66,188
E01002608,Hounslow,15,15,7,3,4,13,4,25,26,76,188
E01003622,Newham,14,11,28,5,1,7,6,33,20,63,188
E01004434,Waltham Forest,15,15,20,1,4,24,7,23,32,47,188
E01033598,Westminster,7,8,15,0,0,6,2,89,9,52,188
E01001491,Enfield,13,13,13,2,3,11,5,17,33,77,187
E01001800,Hackney,19,15,3,1,,20,7,51,18,53,187
E01001877,Hammersmith and Fulham,16,18,18,4,1,17,8,22,25,58,187
E01002087,Haringey,13,37,7,3,1,11,5,20,31,59,187
E01002686,Hounslow,17,10,12,4,1,16,3,27,29,68,187
E01002855,Kensington and Chelsea,11,17,20,4,0,25,12,37,11,50,187
E01002972,Kingston upon Thames,18,23,19,3,1,16,1,41,10,55,187
E01003210,Lewisham,19,20,9,0,1,21,5,26,27,59,187
E01003557,Newham,18,9,6,1,2,9,7,28,32,75,187
E01004384,Waltham Forest,17,7,9,5,2,12,3,31,31,70,187
E01004407,Waltham Forest,14,8,20,2,1,20,6,22,14,80,187
E01004548,Wandsworth,11,20,16,2,0,24,7,50,19,38,187
E01033488,Islington,16,5,5,1,1,16,6,66,15,56,187
E01000905,Camden,12,19,23,3,1,13,10,30,7,68,186
E01001250,Ealing,22,18,8,3,2,11,6,28,25,63,186
E01002054,Haringey,24,15,3,1,0,14,10,22,30,67,186
E01002396,Hillingdon,9,4,11,3,1,15,4,19,52,68,186
E01002747,Islington,7,11,9,3,1,21,11,48,21,54,186
E01002854,Kensington and Chelsea,12,10,12,1,0,21,3,41,12,74,186
E01003677,Redbridge,13,5,5,0,0,8,6,43,63,43,186
E01003916,Southwark,7,20,13,6,4,10,2,50,19,55,186
E01004068,Southwark,12,16,9,4,1,16,4,40,31,53,186
E01004198,Tower Hamlets,9,25,14,5,3,18,3,37,17,55,186
E01004348,Waltham Forest,14,11,15,5,1,17,7,26,28,62,186
E01004703,Westminster,16,9,16,0,1,11,11,44,24,54,186
E01033455,Brent,15,10,21,3,2,15,4,39,10,67,186
E01000160,Barnet,9,11,8,2,1,22,6,39,32,55,185
E01001388,Ealing,12,16,5,4,,30,6,20,34,58,185
E01001703,Greenwich,11,12,13,2,0,19,3,18,13,94,185
E01002049,Haringey,12,10,7,2,2,9,18,21,46,58,185
E01002370,Havering,16,16,5,1,1,6,6,24,45,65,185
E01002526,Hillingdon,20,7,6,3,0,12,3,35,26,73,185
E01002722,Islington,25,19,7,3,1,22,2,24,13,69,185
E01003037,Lambeth,14,11,7,2,2,27,6,53,5,58,185
E01003153,Lambeth,19,19,10,0,1,10,6,48,7,65,185
E01003237,Lewisham,9,6,9,2,2,23,8,25,19,82,185
E01003272,Lewisham,10,22,8,2,2,22,1,33,29,56,185
E01004271,Tower Hamlets,23,15,15,1,,11,3,23,37,57,185
E01000820,Bromley,16,12,9,2,1,20,1,33,42,48,184
E01001371,Ealing,14,10,15,2,,11,5,12,19,96,184
E01001503,Enfield,9,24,7,0,1,8,8,17,59,51,184
E01001763,Hackney,7,20,9,1,1,11,11,52,30,42,184
E01002587,Hounslow,12,10,20,1,6,29,3,15,20,68,184
E01002703,Islington,14,18,6,1,2,12,6,46,19,60,184
E01002867,Kensington and Chelsea,13,24,10,3,1,14,3,34,24,58,184
E01003144,Lambeth,16,3,12,3,5,19,9,56,29,32,184
E01003290,Lewisham,23,9,10,8,0,26,3,19,20,66,184
E01003734,Redbridge,12,12,11,1,0,11,2,45,20,70,184
E01003930,Southwark,7,20,10,1,1,12,13,60,7,53,184
E01003952,Southwark,10,17,1,4,2,14,5,85,15,31,184
E01004394,Waltham Forest,9,11,13,2,1,14,11,28,25,70,184
E01004443,Waltham Forest,7,5,11,0,0,16,9,57,23,56,184
E01004485,Wandsworth,6,12,7,,1,15,4,57,29,53,184
E01032742,Havering,10,2,11,3,4,17,3,69,28,37,184
E01000071,Barking and Dagenham,9,12,16,0,2,13,8,20,31,72,183
E01000093,Barking and Dagenham,12,13,20,3,1,16,5,23,16,74,183
E01000546,Brent,9,19,6,1,0,19,5,28,35,61,183
E01000591,Brent,11,10,8,6,2,11,2,59,16,58,183
E01000789,Bromley,23,5,6,2,0,15,1,22,21,88,183
E01001602,Greenwich,15,9,7,2,2,22,1,16,18,91,183
E01002559,Hounslow,12,11,13,4,1,16,1,29,28,68,183
E01002590,Hounslow,14,8,18,3,2,21,5,25,12,75,183
E01003049,Lambeth,20,11,19,3,2,19,5,22,9,73,183
E01003630,Newham,16,5,12,4,0,18,13,36,15,64,183
E01004452,Waltham Forest,10,12,9,3,1,11,7,46,35,49,183
E01004526,Wandsworth,10,13,14,3,2,12,10,60,13,46,183
E01033568,Kingston upon Thames,12,24,25,2,3,14,1,28,8,66,183
E01000468,Bexley,18,6,5,6,0,12,2,19,21,93,182
E01001547,Enfield,12,18,5,0,2,10,5,30,35,65,182
E01001580,Greenwich,9,9,11,3,,21,9,65,30,25,182
E01001665,Greenwich,16,26,7,2,5,26,5,17,28,50,182
E01002624,Hounslow,11,9,4,4,1,11,5,35,20,82,182
E01002843,Kensington and Chelsea,19,9,16,,5,18,2,32,16,65,182
E01002954,Kingston upon Thames,8,13,8,0,4,19,1,54,6,69,182
E01003578,Newham,17,4,6,3,1,24,3,42,18,64,182
E01003587,Newham,12,9,19,2,1,19,7,45,21,47,182
E01004334,Waltham Forest,15,6,7,6,2,16,11,26,17,76,182
E01004335,Waltham Forest,10,6,27,5,0,12,4,25,16,77,182
E01004755,Westminster,14,22,22,5,6,18,1,35,7,52,182
E01000112,Barking and Dagenham,15,18,15,1,2,20,0,15,38,57,181
E01001833,Hackney,14,27,13,1,4,19,8,31,13,51,181
E01002528,Hillingdon,12,10,4,6,1,22,1,18,24,83,181
E01003574,Newham,16,3,9,2,1,13,5,33,18,81,181
E01003739,Redbridge,10,12,8,3,1,10,4,19,37,77,181
E01004268,Tower Hamlets,12,6,6,5,0,13,2,30,9,98,181
E01004574,Wandsworth,17,26,15,5,2,13,2,21,11,69,181
E01004723,Westminster,11,22,11,3,0,25,9,29,22,49,181
E01000386,Bexley,15,7,6,2,,15,2,28,36,69,180
E01000392,Bexley,15,8,6,6,,15,4,44,12,70,180
E01000428,Bexley,24,13,8,2,1,13,0,16,21,82,180
E01001245,Ealing,10,15,7,6,2,16,5,55,35,29,180
E01001355,Ealing,14,14,3,1,0,13,1,30,43,61,180
E01001942,Hammersmith and Fulham,6,13,18,2,1,20,2,42,26,50,180
E01002098,Haringey,6,15,16,3,3,17,4,33,30,53,180
E01002779,Islington,10,17,5,1,1,12,8,69,10,47,180
E01003919,Southwark,9,21,15,1,2,20,6,25,23,58,180
E01004185,Sutton,17,7,16,0,3,18,0,18,20,81,180
E01004204,Tower Hamlets,12,12,19,3,0,19,11,28,26,50,180
E01004207,Tower Hamlets,12,8,25,2,,11,12,46,11,53,180
E01004283,Tower Hamlets,10,8,30,5,2,11,8,24,17,65,180
E01033593,Westminster,8,17,11,4,1,11,2,53,10,63,180
E01000859,Camden,11,18,2,,,8,6,69,39,26,179
E01001170,Croydon,18,18,15,3,0,7,5,14,27,72,179
E01001515,Enfield,16,14,11,6,3,10,10,19,28,62,179
E01001716,Hackney,16,13,10,3,0,21,9,46,12,49,179
E01002706,Islington,11,12,10,,0,10,6,67,14,49,179
E01002791,Islington,11,18,4,2,2,8,13,72,18,31,179
E01003200,Lewisham,17,10,14,2,1,12,6,65,14,38,179
E01000483,Brent,16,11,7,1,,9,5,53,17,59,178
E01000531,Brent,14,12,17,5,0,13,6,34,18,59,178
E01000927,Camden,14,16,19,2,1,20,7,50,11,38,178
E01001111,Croydon,12,13,8,1,3,23,8,54,16,40,178
E01001328,Ealing,13,8,12,1,2,10,4,45,21,62,178
E01001442,Enfield,13,8,7,4,3,10,5,24,27,77,178
E01001460,Enfield,11,8,9,4,2,13,3,14,31,83,178
E01002899,Kensington and Chelsea,8,15,5,2,0,13,3,74,22,36,178
E01003169,Lambeth,12,22,8,0,1,13,6,29,18,69,178
E01003253,Lewisham,24,13,7,1,2,17,7,50,15,42,178
E01003354,Lewisham,13,13,5,4,1,9,3,22,35,73,178
E01003675,Redbridge,11,16,10,4,0,13,3,16,58,47,178
E01003862,Richmond upon Thames,10,22,3,5,3,14,0,47,31,43,178
E01004118,Sutton,14,7,7,1,0,19,1,29,18,82,178
E01004513,Wandsworth,6,5,10,3,2,5,5,68,23,51,178
E01000243,Barnet,11,26,7,0,2,17,4,37,18,55,177
E01001244,Ealing,15,16,19,2,1,15,3,26,17,63,177
E01001744,Hackney,6,26,6,2,1,12,5,40,36,43,177
E01002086,Haringey,11,18,4,1,2,11,23,23,35,49,177
E01002133,Harrow,27,6,20,6,4,16,1,20,11,66,177
E01003050,Lambeth,7,27,21,3,5,17,7,31,6,53,177
E01003117,Lambeth,12,13,9,2,2,18,2,42,28,49,177
E01003246,Lewisham,20,25,12,4,1,7,9,19,23,57,177
E01003576,Newham,11,13,11,8,1,13,3,34,11,72,177
E01003740,Redbridge,16,15,24,0,2,13,7,12,42,46,177
E01004288,Tower Hamlets,12,6,17,1,6,17,6,31,12,69,177
E01033490,Islington,11,23,5,1,0,12,13,68,12,32,177
E01000408,Bexley,19,17,9,2,1,10,3,25,26,64,176
E01000912,Camden,10,10,6,1,0,18,21,41,10,59,176
E01001267,Ealing,16,19,17,5,,12,8,28,20,51,176
E01001352,Ealing,12,13,7,1,4,17,6,40,23,53,176
E01002057,Haringey,4,12,6,3,,15,7,55,33,41,176
E01002090,Haringey,9,18,5,4,1,9,3,37,40,50,176
E01002572,Hounslow,15,17,15,4,0,20,11,25,32,37,176
E01002588,Hounslow,9,9,2,4,2,23,1,15,17,94,176
E01003231,Lewisham,10,14,1,1,1,10,11,59,26,43,176
E01003590,Newham,14,11,22,4,2,11,4,22,31,55,176
E01004188,Sutton,14,16,8,6,,10,1,26,18,77,176
E01004399,Waltham Forest,23,6,18,9,2,10,5,10,23,70,176
E01000929,Camden,11,21,11,5,2,17,6,29,18,55,175
E01001234,Ealing,13,12,11,1,3,8,5,22,53,47,175
E01001683,Greenwich,7,4,6,,2,12,3,59,21,61,175
E01001914,Hammersmith and Fulham,12,20,15,1,1,13,4,43,14,52,175
E01002030,Haringey,15,16,7,4,1,9,3,26,51,43,175
E01002150,Harrow,7,21,7,1,1,13,2,48,48,27,175
E01003073,Lambeth,19,13,10,1,3,16,6,34,17,56,175
E01003288,Lewisham,12,25,7,4,1,12,2,31,17,64,175
E01003375,Merton,24,11,13,5,0,21,4,17,24,56,175
E01004660,Westminster,4,8,2,1,2,15,3,93,20,27,175
E01000084,Barking and Dagenham,15,14,8,5,1,10,9,35,12,65,174
E01000627,Brent,11,13,7,6,5,9,3,21,33,66,174
E01000797,Bromley,15,13,3,1,,14,3,31,54,40,174
E01000937,Camden,11,10,30,0,1,10,7,61,15,29,174
E01001652,Greenwich,12,10,9,1,3,17,4,44,26,48,174
E01001939,Hammersmith and Fulham,10,18,10,4,2,12,5,35,9,69,174
E01001976,Haringey,13,6,6,2,1,15,7,18,51,55,174
E01002503,Hillingdon,6,10,14,2,4,16,3,36,22,61,174
E01002529,Hillingdon,22,8,15,1,1,18,5,35,14,55,174
E01003052,Lambeth,14,10,24,3,4,11,4,35,10,59,174
E01003538,Newham,11,13,18,5,0,8,4,34,22,59,174
E01003723,Redbridge,19,3,10,2,1,17,4,21,23,74,174
E01004722,Westminster,14,10,27,2,0,20,3,23,11,64,174
E01000082,Barking and Dagenham,10,8,8,6,3,20,3,46,12,57,173
E01000257,Barnet,9,20,5,1,,11,2,50,22,53,173
E01000258,Barnet,4,3,11,4,1,12,5,83,24,26,173
E01000819,Bromley,5,14,9,3,4,17,7,21,26,67,173
E01001243,Ealing,18,15,13,4,1,12,4,21,25,60,173
E01001465,Enfield,9,8,7,5,3,12,8,20,37,64,173
E01001772,Hackney,11,2,1,1,1,18,10,50,20,59,173
E01001912,Hammersmith and Fulham,10,16,10,1,1,17,0,38,7,73,173
E01001961,Hammersmith and Fulham,10,1,10,2,2,29,3,16,19,81,173
E01002075,Haringey,12,19,4,0,0,10,3,31,43,51,173
E01002456,Hillingdon,15,4,9,1,1,15,4,42,24,58,173
E01002470,Hillingdon,14,15,11,3,2,18,3,21,35,51,173
E01002846,Kensington and Chelsea,10,12,11,,2,21,3,37,13,64,173
E01003516,Newham,20,10,6,1,1,16,4,20,27,68,173
E01003535,Newham,14,4,12,2,1,12,4,14,50,60,173
E01003638,Redbridge,18,14,5,3,2,15,4,33,35,44,173
E01004217,Tower Hamlets,22,20,14,5,1,20,5,30,6,50,173
E01000499,Brent,16,17,16,5,3,17,5,22,26,45,172
E01000671,Bromley,16,15,9,3,1,19,2,29,14,64,172
E01000865,Camden,11,8,10,1,,5,5,85,9,38,172
E01000891,Camden,10,24,23,4,1,15,4,24,7,60,172
E01001856,Hammersmith and Fulham,10,11,19,1,2,24,1,35,17,52,172
E01001955,Hammersmith and Fulham,11,18,20,5,1,8,3,16,27,63,172
E01002118,Harrow,11,32,14,3,3,15,2,13,20,59,172
E01002326,Havering,14,5,10,4,2,12,2,61,13,49,172
E01002719,Islington,9,26,8,,2,9,10,63,20,25,172
E01003164,Lambeth,15,18,15,1,4,11,6,25,22,55,172
E01003508,Newham,15,24,5,4,0,16,9,18,32,49,172
E01004130,Sutton,16,9,17,3,,12,5,36,43,31,172
E01004172,Sutton,15,15,7,0,1,6,4,14,32,78,172
E01033713,Hackney,5,23,12,1,4,11,12,38,21,45,172
E01000096,Barking and Dagenham,12,5,7,3,2,17,6,20,33,66,171
E01000108,Barking and Dagenham,10,8,11,3,1,17,3,41,12,65,171
E01000294,Barnet,8,5,0,2,,19,1,29,28,79,171
E01000782,Bromley,26,17,2,5,,17,3,25,16,60,171
E01001411,Enfield,11,11,2,1,2,20,4,53,13,54,171
E01001629,Greenwich,21,7,14,6,2,14,4,22,8,73,171
E01001664,Greenwich,16,15,12,0,2,13,2,64,12,35,171
E01001940,Hammersmith and Fulham,8,14,14,6,3,14,2,38,18,54,171
E01002604,Hounslow,19,10,11,2,2,21,4,7,8,87,171
E01002629,Hounslow,18,17,9,4,1,16,1,17,17,71,171
E01002839,Kensington and Chelsea,12,14,23,5,2,11,4,37,23,40,171
E01004319,Tower Hamlets,6,16,20,3,2,18,4,23,25,54,171
E01004470,Waltham Forest,7,6,9,2,3,14,9,43,13,65,171
E01004545,Wandsworth,3,18,3,4,1,14,8,64,24,32,171
E01000466,Bexley,14,3,19,1,5,12,6,21,27,62,170
E01000527,Brent,14,13,12,4,1,13,5,17,28,63,170
E01000638,Brent,11,15,14,0,2,13,6,28,26,55,170
E01002594,Hounslow,24,14,11,3,4,14,3,11,25,61,170
E01002783,Islington,10,13,14,2,,14,4,28,28,57,170
E01002857,Kensington and Chelsea,10,17,29,3,0,19,5,24,6,57,170
E01003526,Newham,12,3,21,1,0,10,3,26,26,68,170
E01004448,Waltham Forest,9,12,13,3,,9,12,45,28,39,170
E01032584,Southwark,17,6,8,1,0,15,3,51,13,56,170
E01033603,Westminster,13,12,6,2,2,19,4,29,10,73,170
E01000727,Bromley,13,15,8,3,0,20,1,49,32,28,169
E01000974,Camden,12,15,9,4,1,18,4,28,20,58,169
E01001173,Croydon,17,8,9,2,1,19,2,10,18,83,169
E01001534,Enfield,13,20,7,1,1,14,12,23,29,49,169
E01002607,Hounslow,9,9,7,4,3,20,8,29,16,64,169
E01002738,Islington,7,18,6,3,0,9,16,54,22,34,169
E01002799,Islington,14,18,5,3,1,8,4,43,21,52,169
E01003263,Lewisham,14,8,6,5,1,24,4,47,12,48,169
E01004336,Waltham Forest,3,5,19,2,2,16,4,30,18,70,169
E01004535,Wandsworth,15,7,25,4,2,9,8,16,14,69,169
E01004716,Westminster,11,14,4,1,,7,6,71,24,31,169
E01000845,Camden,11,18,11,3,1,7,9,44,25,39,168
E01000948,Camden,15,21,14,0,1,14,7,39,19,38,168
E01001008,Croydon,16,11,10,4,,12,1,21,37,56,168
E01001283,Ealing,10,10,10,11,6,22,2,12,14,71,168
E01001338,Ealing,11,4,18,3,1,9,2,17,37,66,168
E01001698,Greenwich,11,9,9,1,1,12,3,15,25,82,168
E01001724,Hackney,9,26,9,2,,18,7,33,17,47,168
E01002117,Harrow,17,12,10,3,0,17,4,18,31,56,168
E01002969,Kingston upon Thames,14,15,19,5,5,12,1,14,9,74,168
E01003500,Newham,6,11,10,6,5,8,1,16,46,59,168
E01003537,Newham,11,8,13,1,2,23,4,28,30,48,168
E01003701,Redbridge,10,14,6,3,3,12,8,40,31,41,168
E01003705,Redbridge,17,4,3,1,3,15,4,40,27,54,168
E01004021,Southwark,14,14,3,1,2,8,5,43,39,39,168
E01004517,Wandsworth,14,7,4,1,1,24,4,24,22,67,168
E01004573,Wandsworth,13,13,11,3,0,20,0,48,21,39,168
E01000143,Barnet,11,19,4,1,1,20,2,27,34,48,167
E01000535,Brent,17,11,14,0,1,7,7,21,32,57,167
E01000742,Bromley,10,11,8,4,1,17,2,15,44,55,167
E01001387,Ealing,16,10,9,1,1,14,9,17,36,54,167
E01001509,Enfield,11,11,18,3,3,14,6,11,34,56,167
E01001792,Hackney,22,23,8,1,1,19,6,28,28,31,167
E01002446,Hillingdon,12,7,10,2,2,13,5,22,41,53,167
E01002751,Islington,12,13,13,3,0,11,6,34,22,53,167
E01003177,Lambeth,12,21,17,2,5,15,12,28,15,40,167
E01003357,Merton,10,14,20,3,3,9,2,20,14,72,167
E01003888,Richmond upon Thames,6,7,4,2,1,22,4,67,12,42,167
E01004249,Tower Hamlets,13,11,9,6,0,11,3,20,33,61,167
E01004428,Waltham Forest,9,18,26,2,1,9,2,11,29,60,167
E01004506,Wandsworth,10,20,8,,2,12,1,22,40,52,167
E01004528,Wandsworth,23,12,6,4,1,21,3,23,20,54,167
E01004601,Wandsworth,2,31,6,6,4,12,5,33,14,54,167
E01004612,Wandsworth,16,5,3,,1,16,6,48,20,52,167
E01000447,Bexley,17,10,20,5,,5,1,22,37,49,166
